日付け,終値
2016.3.30,1356.29
2016.3.31,1347.20
2016.4.1,1301.40
2016.4.4,1302.71
2016.4.5,1268.37
2016.4.6,1267.75
2016.4.7,1272.64
2016.4.8,1287.69
2016.4.11,1279.79
2016.4.12,1299.35
2016.4.13,1332.44
2016.4.14,1371.35
2016.4.15,1361.40
2016.4.18,1320.15
2016.4.19,1363.03
2016.4.20,1365.78
2016.4.21,1393.68
2016.4.22,1407.50
2016.4.25,1401.83
2016.4.26,1391.69
2016.4.27,1384.30
2016.4.28,1340.55
2016.5.2,1299.96
2016.5.6,1298.32
2016.5.9,1306.66
2016.5.10,1334.90
2016.5.11,1334.30
2016.5.12,1337.27
2016.5.13,1320.19
2016.5.16,1321.65
2016.5.17,1335.85
2016.5.18,1338.38
2016.5.19,1336.56
2016.5.20,1343.40
2016.5.23,1338.68
2016.5.24,1326.50
2016.5.25,1342.88
2016.5.26,1342.87
2016.5.27,1349.93
2016.5.30,1366.01
2016.5.31,1379.80
2016.6.1,1362.07
2016.6.2,1331.81
2016.6.3,1337.23
2016.6.6,1332.43
2016.6.7,1340.77
2016.6.8,1350.97
2016.6.9,1337.41
2016.6.10,1330.72
2016.6.13,1284.54
2016.6.14,1271.93
2016.6.15,1277.11
2016.6.16,1241.56
2016.6.17,1250.83
2016.6.20,1279.19
2016.6.21,1293.90
2016.6.22,1284.61
2016.6.23,1298.71
2016.6.24,1204.48
2016.6.27,1225.76
2016.6.28,1224.62
2016.6.29,1247.69
2016.6.30,1245.82
2016.7.1,1254.44
2016.7.4,1261.97
2016.7.5,1256.64
2016.7.6,1234.20
2016.7.7,1226.09
2016.7.8,1209.88
2016.7.11,1255.79
2016.7.12,1285.73
2016.7.13,1300.26
2016.7.14,1311.16
2016.7.15,1317.10
2016.7.19,1331.39
2016.7.20,1330.75
2016.7.21,1339.39
2016.7.22,1327.51
2016.7.25,1325.36
2016.7.26,1306.94
2016.7.27,1321.67
2016.7.28,1307.00
2016.7.29,1322.74
2016.8.1,1321.83
2016.8.2,1300.20
2016.8.3,1271.98
2016.8.4,1282.99
2016.8.5,1279.90
2016.8.8,1305.53
2016.8.9,1317.49
2016.8.10,1314.83
2016.8.12,1323.22
2016.8.15,1316.63
2016.8.16,1298.47
2016.8.17,1311.13
2016.8.18,1290.79
2016.8.19,1295.67
2016.8.22,1303.68
2016.8.23,1297.56
2016.8.24,1306.71
2016.8.25,1304.27
2016.8.26,1287.90
2016.8.29,1313.24
