日付け,終値
2017.8.9,46280
2017.8.10,45900
2017.8.11,44620
2017.8.14,45000
2017.8.16,46200
2017.8.17,47040
2017.8.18,46900
2017.8.21,46840
2017.8.22,47000
2017.8.23,47480
2017.8.24,47520
2017.8.25,47020
2017.8.28,46100
2017.8.29,46080
2017.8.30,46200
2017.8.31,46320
2017.9.1,46480
2017.9.4,46040
2017.9.5,46760
2017.9.6,47000
2017.9.7,48120
2017.9.8,49080
2017.9.11,49800
2017.9.12,49600
2017.9.13,49620
2017.9.14,50300
2017.9.15,50400
2017.9.18,52480
2017.9.19,52120
2017.9.20,52220
2017.9.21,52800
2017.9.25,53620
2017.9.26,53620
2017.9.27,51680
2017.9.28,51260
2017.9.29,51280
2017.10.10,52800
2017.10.11,54640
2017.10.12,54800
2017.10.13,54000
2017.10.16,53920
2017.10.17,54800
2017.10.18,54760
2017.10.19,52980
2017.10.20,53840
2017.10.23,54300
2017.10.24,54040
2017.10.25,53900
2017.10.26,52400
2017.10.27,53080
2017.10.30,54040
2017.10.31,55080
2017.11.1,57220
2017.11.2,57060
2017.11.3,56380
2017.11.6,56380
2017.11.7,56100
2017.11.8,56760
2017.11.9,56340
2017.11.10,56400
2017.11.13,56380
2017.11.14,55920
2017.11.15,55340
2017.11.16,55780
2017.11.17,55820
2017.11.20,55200
2017.11.21,55280
2017.11.22,55960
2017.11.23,55300
2017.11.24,55460
2017.11.27,52640
2017.11.28,53280
2017.11.29,52600
2017.11.30,50800
2017.12.1,50840
2017.12.4,51340
2017.12.5,51260
2017.12.6,50020
2017.12.7,50740
2017.12.8,52000
2017.12.11,51780
2017.12.12,52100
2017.12.13,51320
2017.12.14,51060
2017.12.15,50620
2017.12.18,51200
2017.12.19,51560
2017.12.21,49140
2017.12.22,49700
2017.12.26,48200
2017.12.27,49360
2017.12.28,50960
2018.1.2,51020
2018.1.3,51620
2018.1.4,51080
2018.1.5,52120
2018.1.8,52020
2018.1.9,50400
2018.1.10,48840
2018.1.11,48240
2018.1.12,48200
2018.1.15,48540
2018.1.16,50000
2018.1.17,49620
2018.1.18,49900
2018.1.19,49320
2018.1.22,48240
2018.1.23,49160
2018.1.24,49340
2018.1.25,50260
2018.1.26,50780
2018.1.29,51220
2018.1.30,49800
2018.1.31,49900
2018.2.1,49820
2018.2.2,47700
2018.2.5,47920
2018.2.6,47420
2018.2.7,45800
2018.2.8,46000
2018.2.9,44700
2018.2.12,45720
2018.2.13,47540
